Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.537537,491.957855,72.936844,885.701172,27.916323,77.511406,-166.692703,-189.049301,14.239684,-585.981262,89.720566,78.608696,-569.720032,402.648041,73.782532,157.500092,352.690552,47.382858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.536804,491.959869,72.936966,885.702332,27.916359,77.512901,-166.694290,-189.048630,14.240224,-585.983093,89.720978,78.607414,-569.722717,402.650543,73.784691,157.495316,352.711761,47.407692,-0.143051,0.405312,0.025332,0.226498,0.007078,0.298023,-0.315905,0.134110,0.108033,-0.369549,0.081956,-0.256300,-0.536442,0.500679,0.432134,-0.953674,4.243851,4.966557,,,,,,,,,,,,,,,,,,
3,0,907.535889,491.962219,72.937126,885.703674,27.916405,77.514664,-166.696091,-189.047867,14.240843,-585.985352,89.721519,78.605774,-569.725586,402.653442,73.787155,157.490295,352.737244,47.437321,-0.178814,0.470877,0.031292,0.274181,0.009313,0.353158,-0.360608,0.151992,0.123866,-0.452995,0.107288,-0.329316,-0.572205,0.584126,0.491738,-1.004338,5.096197,5.926192,-7.152557,13.113022,1.192093,9.536743,0.447035,11.026859,-8.940697,3.576279,3.166497,-16.689301,5.066395,-14.603138,-7.152557,16.689301,11.920929,-10.132790,170.469284,191.926956
4,0,907.534912,491.964905,72.937286,885.705200,27.916468,77.516708,-166.698105,-189.047073,14.241540,-585.987915,89.722176,78.603714,-569.728821,402.656708,73.789879,157.485199,352.767059,47.471851,-0.202656,0.536442,0.032783,0.298023,0.012293,0.408292,-0.402331,0.160933,0.139326,-0.512600,0.132620,-0.411272,-0.643730,0.649691,0.545382,-1.019239,5.960464,6.905943,-4.768372,13.113022,0.298023,4.768372,0.596046,11.026859,-8.344650,1.788139,3.091991,-11.920929,5.066395,-16.391277,-14.305115,13.113022,10.728836,-2.980232,172.853470,195.950272
5,0,907.533630,491.967896,72.937477,885.706848,27.916544,77.519005,-166.700287,-189.046204,14.242299,-585.990723,89.723000,78.601242,-569.732239,402.660278,73.792847,157.480225,352.801056,47.511288,-0.250340,0.596046,0.037253,0.333786,0.015274,0.460446,-0.438094,0.172853,0.151806,-0.560284,0.163913,-0.494719,-0.691414,0.715256,0.593066,-0.995398,6.800890,7.887185,-9.536743,11.920929,0.894070,7.152557,0.596046,10.430813,-7.152557,2.384186,2.495944,-9.536743,6.258488,-16.689301,-9.536743,13.113022,9.536743,4.768372,168.085098,196.248291
6,0,907.532349,491.971191,72.937675,885.708557,27.916630,77.521561,-166.702621,-189.045288,14.243106,-585.993774,89.723969,78.598289,-569.735962,402.664093,73.795982,157.475571,352.839142,47.555588,-0.262260,0.661612,0.040233,0.345707,0.017136,0.511110,-0.467896,0.181794,0.161491,-0.607967,0.193715,-0.590086,-0.739098,0.762939,0.627339,-0.929832,7.617474,8.860230,-2.384186,13.113022,0.596046,2.384186,0.372529,10.132790,-5.960464,1.788139,1.937151,-9.536743,5.960464,-19.073486,-9.536743,9.536743,6.854534,13.113022,163.316727,194.609161
7,0,907.530701,491.974640,72.937866,885.710388,27.916721,77.524338,-166.705078,-189.044403,14.243942,-585.997009,89.725098,78.594879,-569.739685,402.668121,73.799240,157.471466,352.880859,47.604691,-0.321865,0.691414,0.038743,0.357628,0.018626,0.554323,-0.488758,0.178814,0.167266,-0.643730,0.226498,-0.682473,-0.751019,0.804663,0.651181,-0.822544,8.344650,9.820610,-11.920929,5.960464,-0.298023,2.384186,0.298023,8.642673,-4.172325,-0.596046,1.154840,-7.152557,6.556511,-18.477440,-2.384186,8.344650,4.768372,21.457672,145.435333,192.075974
8,0,907.529053,491.978333,72.938065,885.712219,27.916811,77.527290,-166.707565,-189.043503,14.244783,-586.000305,89.726395,78.590988,-569.743530,402.672241,73.802536,157.468048,352.925903,47.658550,-0.333786,0.733137,0.038743,0.369549,0.017881,0.591576,-0.497699,0.178814,0.168197,-0.667572,0.259280,-0.777841,-0.762939,0.822544,0.660121,-0.682473,9.006262,10.772049,-2.384186,8.344650,0.000000,2.384186,-0.149012,7.450581,-1.788139,0.000000,0.186265,-4.768372,6.556511,-19.073486,-2.384186,3.576279,1.788139,28.014183,132.322311,190.287827
9,0,907.527222,491.982086,72.938240,885.714050,27.916891,77.530403,-166.710037,-189.042679,14.245605,-586.003662,89.727852,78.586655,-569.747192,402.676392,73.805840,157.465515,352.973450,47.717144,-0.369549,0.751019,0.035763,0.369549,0.016019,0.622869,-0.494719,0.166893,0.164099,-0.667572,0.290573,-0.867248,-0.739098,0.834465,0.660121,-0.506639,9.512901,11.718273,-7.152557,3.576279,-0.596046,0.000000,-0.372529,6.258488,0.596046,-2.384186,-0.819564,0.000000,6.258488,-17.881393,4.768372,2.384186,0.000000,35.166740,101.327896,189.244751
10,0,907.525330,491.985840,72.938400,885.715820,27.916952,77.533623,-166.712463,-189.041885,14.246373,-586.007141,89.729462,78.581909,-569.750916,402.680511,73.809067,157.464020,353.022888,47.780491,-0.381470,0.751019,0.031292,0.357628,0.012293,0.643730,-0.485778,0.157952,0.153854,-0.691414,0.321865,-0.949204,-0.739098,0.822544,0.645220,-0.301003,9.888411,12.669712,-2.384186,0.000000,-0.894070,-2.384186,-0.745058,4.172325,1.788139,-1.788139,-2.048910,-4.768372,6.258488,-16.391277,0.000000,-2.384186,-2.980232,41.127205,75.101852,190.287827
11,0,907.523315,491.989532,72.938515,885.717590,27.916988,77.536926,-166.714752,-189.041183,14.247064,-586.010437,89.731186,78.576813,-569.754333,402.684601,73.812164,157.463623,353.073334,47.848690,-0.393391,0.739098,0.023842,0.345707,0.007078,0.660121,-0.458956,0.140071,0.138022,-0.667572,0.345707,-1.019239,-0.691414,0.816584,0.619888,-0.077486,10.085106,13.639778,-2.384186,-2.384186,-1.490116,-2.384186,-1.043081,3.278255,5.364418,-3.576279,-3.166497,4.768372,4.768372,-14.007092,9.536743,-1.192093,-5.066395,44.703484,39.339066,194.013123
12,0,907.521484,491.993134,72.938599,885.719177,27.916983,77.540253,-166.716904,-189.040573,14.247645,-586.013672,89.733025,78.571449,-569.757507,402.688477,73.815109,157.464478,353.123779,47.921856,-0.369549,0.721216,0.016391,0.321865,-0.001118,0.666082,-0.429153,0.122190,0.116415,-0.643730,0.368059,-1.072884,-0.631809,0.774860,0.588596,0.169873,10.091066,14.632940,4.768372,-3.576279,-1.490116,-4.768372,-1.639128,1.192093,5.960464,-3.576279,-4.321337,4.768372,4.470348,-10.728836,11.920929,-8.344650,-6.258488,49.471855,1.192093,198.632477
13,0,907.519531,491.996552,72.938652,885.720581,27.916931,77.543594,-166.718857,-189.040054,14.248096,-586.016785,89.734940,78.565933,-569.760498,402.692139,73.817833,157.466599,353.173340,48.000156,-0.393391,0.685453,0.010431,0.274181,-0.010431,0.667572,-0.390410,0.104308,0.090152,-0.619888,0.382960,-1.102686,-0.596046,0.733137,0.545382,0.426173,9.912252,15.660376,-4.768372,-7.152557,-1.192093,-9.536743,-1.862645,0.298023,7.748604,-3.576279,-5.252659,4.768372,2.980232,-5.960464,7.152557,-8.344650,-8.642673,51.259995,-35.762787,205.487015
14,0,907.517761,491.999725,72.938652,885.721924,27.916824,77.546890,-166.720551,-189.039642,14.248394,-586.019531,89.736870,78.560371,-569.763062,402.695465,73.820343,157.470062,353.221008,48.083790,-0.357628,0.631809,0.000000,0.274181,-0.021234,0.658631,-0.339746,0.080466,0.059605,-0.548363,0.385940,-1.111627,-0.512600,0.667572,0.502169,0.691414,9.530783,16.726553,7.152557,-10.728836,-2.086163,0.000000,-2.160668,-1.788139,10.132790,-4.768372,-6.109476,14.305115,0.596046,-1.788139,16.689301,-13.113022,-8.642673,53.048134,-76.293945,213.235611
15,0,907.516052,492.002594,72.938606,885.723022,27.916653,77.550125,-166.722046,-189.039352,14.248528,-586.022034,89.738785,78.554947,-569.765381,402.698547,73.822617,157.474915,353.265747,48.172901,-0.333786,0.578165,-0.008941,0.214577,-0.034273,0.648201,-0.298023,0.059605,0.026822,-0.500679,0.382960,-1.086295,-0.464916,0.613928,0.454485,0.971556,8.946657,17.822535,4.768372,-10.728836,-1.788139,-11.920929,-2.607703,-2.086163,8.344650,-4.172325,-6.556511,9.536743,-0.596046,5.066395,9.536743,-10.728836,-9.536743,56.028366,-116.825104,219.196075
16,0,907.514465,492.005219,72.938530,885.723999,27.916412,77.553268,-166.723267,-189.039154,14.248493,-586.024231,89.740601,78.549774,-569.767334,402.701263,73.824669,157.481186,353.306702,48.267639,-0.321865,0.524521,-0.014901,0.202656,-0.048056,0.628829,-0.244379,0.038743,-0.007078,-0.441074,0.363588,-1.034141,-0.393391,0.542402,0.409782,1.251698,8.195639,18.947571,2.384186,-10.728836,-1.192093,-2.384186,-2.756715,-3.874302,10.728836,-4.172325,-6.780028,11.920929,-3.874302,10.430813,14.305115,-14.305115,-8.940697,56.028366,-150.203705,225.007538
17,0,907.513000,492.007538,72.938431,885.724731,27.916092,77.556313,-166.724228,-189.039062,14.248292,-586.025879,89.742271,78.545029,-569.769043,402.703583,73.826492,157.488846,353.343170,48.368050,-0.286102,0.458956,-0.020862,0.143051,-0.064075,0.607967,-0.193715,0.017881,-0.040233,-0.333786,0.333786,-0.949204,-0.333786,0.464916,0.365078,1.534820,7.289648,20.081551,7.152557,-13.113022,-1.192093,-11.920929,-3.203750,-4.172325,10.132790,-4.172325,-6.631017,21.457672,-5.960464,16.987324,11.920929,-15.497208,-8.940697,56.624413,-181.198120,226.795670
18,0,907.511841,492.009521,72.938309,885.725342,27.915686,77.559204,-166.724976,-189.039062,14.247933,-586.027344,89.743736,78.540855,-569.770264,402.705505,73.828110,157.497940,353.374451,48.474083,-0.238419,0.399351,-0.023842,0.119209,-0.081211,0.578165,-0.149012,0.000000,-0.071712,-0.286102,0.292063,-0.834465,-0.250340,0.381470,0.323355,1.817942,6.258488,21.207333,9.536743,-11.920929,-0.596046,-4.768372,-3.427267,-5.960464,8.940697,-3.576279,-6.295741,9.536743,-8.344650,22.947788,16.689301,-16.689301,-8.344650,56.624413,-206.232071,225.156540
19,0,907.510742,492.011169,72.938164,885.725769,27.915186,77.561928,-166.725494,-189.039139,14.247435,-586.028198,89.744926,78.537376,-569.771362,402.707001,73.829536,157.508453,353.400146,48.585587,-0.214577,0.327826,-0.028312,0.095367,-0.100210,0.545382,-0.104308,-0.014901,-0.099838,-0.178814,0.238419,-0.695884,-0.214577,0.303984,0.286102,2.101064,5.137920,22.300333,4.768372,-14.305115,-0.894070,-4.768372,-3.799796,-6.556511,8.940697,-2.980232,-5.625188,21.457672,-10.728836,27.716160,7.152557,-15.497208,-7.450581,56.624413,-224.113464,218.600037
20,0,907.510010,492.012512,72.938026,885.726135,27.914581,77.564484,-166.725845,-189.039291,14.246816,-586.028687,89.745796,78.534691,-569.772095,402.708191,73.830818,157.520340,353.419983,48.702251,-0.154972,0.268221,-0.028312,0.071526,-0.120699,0.511110,-0.068545,-0.029802,-0.123680,-0.095367,0.174344,-0.536442,-0.143051,0.238419,0.256300,2.378225,3.969669,23.332983,11.920929,-11.920929,0.000000,-4.768372,-4.097819,-6.854534,7.152557,-2.980232,-4.768372,16.689301,-12.814999,31.888485,14.305115,-13.113022,-5.960464,55.432320,-233.650208,206.530090
21,0,907.509338,492.013580,72.937889,885.726379,27.913870,77.566872,-166.726013,-189.039459,14.246103,-586.028809,89.746315,78.532898,-569.772583,402.709045,73.831970,157.533569,353.433929,48.823643,-0.131130,0.214577,-0.026822,0.047684,-0.142306,0.476837,-0.032783,-0.032783,-0.142492,-0.023842,0.104308,-0.359118,-0.107288,0.166893,0.229478,2.646446,2.789497,24.278461,4.768372,-10.728836,0.298023,-4.768372,-4.321337,-6.854534,7.152557,-0.596046,-3.762543,14.305115,-14.007092,35.464764,7.152557,-14.305115,-5.364418,53.644180,-236.034393,189.095734
22,0,907.508850,492.014374,72.937782,885.726624,27.913048,77.569046,-166.726044,-189.039642,14.245322,-586.028564,89.746460,78.531998,-569.773010,402.709534,73.832993,157.548111,353.442139,48.949184,-0.095367,0.160933,-0.022352,0.047684,-0.164658,0.435114,-0.005960,-0.038743,-0.156276,0.047684,0.028312,-0.180304,-0.083447,0.101328,0.205636,2.908707,1.639128,25.108456,7.152557,-10.728836,0.894070,0.000000,-4.470348,-8.344650,5.364418,-1.192093,-2.756715,14.305115,-15.199184,35.762787,4.768372,-13.113022,-4.768372,52.452087,-230.073929,165.998932
23,0,907.508545,492.014954,72.937691,885.726746,27.912106,77.571037,-166.725983,-189.039871,14.244502,-586.027954,89.746208,78.532013,-569.773193,402.709778,73.833939,157.563904,353.444824,49.078167,-0.059605,0.113249,-0.017881,0.023842,-0.188127,0.397861,0.011921,-0.044703,-0.163913,0.119209,-0.050664,0.002980,-0.035763,0.047684,0.187755,3.159046,0.536442,25.796144,7.152557,-9.536743,0.894070,-4.768372,-4.693866,-7.450581,3.576279,-1.192093,-1.527369,14.305115,-15.795231,36.656857,9.536743,-10.728836,-3.576279,50.067902,-220.537186,137.537720
24,0,907.508240,492.015320,72.937622,885.726807,27.911055,77.572838,-166.725876,-189.040085,14.243674,-586.027161,89.745575,78.532898,-569.773376,402.709778,73.834801,157.580887,353.442413,49.209755,-0.059605,0.077486,-0.013411,0.011921,-0.210479,0.360608,0.020862,-0.041723,-0.165589,0.166893,-0.126660,0.177324,-0.035763,0.000000,0.172853,3.394485,-0.482798,26.317686,0.000000,-7.152557,0.894070,-2.384186,-4.470348,-7.450581,1.788139,0.596046,-0.335276,9.536743,-15.199184,34.868717,0.000000,-9.536743,-2.980232,47.087669,-203.847885,104.308128
25,0,907.508118,492.015564,72.937607,885.726868,27.909901,77.574455,-166.725723,-189.040268,14.242865,-586.026001,89.744583,78.534607,-569.773438,402.709595,73.835579,157.598923,353.435394,49.343029,-0.023842,0.047684,-0.002980,0.011921,-0.230595,0.323355,0.029802,-0.038743,-0.162050,0.226498,-0.198185,0.341237,-0.011921,-0.035763,0.156462,3.609061,-1.400709,26.654451,7.152557,-5.960464,2.086163,0.000000,-4.023314,-7.450581,1.788139,0.596046,0.707805,11.920929,-14.305115,32.782555,4.768372,-7.152557,-3.278255,42.915344,-183.582306,67.353249
