Trajectories
200
,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,Yash:Pullies1,,,Yash:Pullies2,,,Yash:Pullies3,,,Yash:Pullies4,,,Yash:Pullies5,,,Yash:Arm,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X',Y',Z',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z'',X'',Y'',Z''
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²
1,0,907.667175,492.026978,72.929543,885.701416,27.904152,77.452789,-168.309967,-191.229965,11.260676,-601.572876,86.404686,78.545822,-568.579346,401.608673,73.882164,-47.082115,286.476074,125.113487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,907.665649,492.029053,72.929161,885.701721,27.903843,77.455498,-168.311813,-191.228943,11.258408,-601.577942,86.405518,78.558655,-568.581909,401.609070,73.886703,-47.088364,286.482208,125.080261,-0.298023,0.411272,-0.077486,0.059605,-0.061467,0.542402,-0.369549,0.205636,-0.453740,-1.013279,0.165403,2.565980,-0.512600,0.077486,0.907481,-1.249462,1.227856,-6.645918,,,,,,,,,,,,,,,,,,
3,0,907.664001,492.031464,72.928741,885.702148,27.903494,77.458664,-168.313950,-191.227707,11.255803,-601.584045,86.406395,78.573853,-568.584900,401.609558,73.891937,-47.095535,286.489197,125.041962,-0.333786,0.482798,-0.083447,0.083447,-0.070035,0.633299,-0.426173,0.247359,-0.520796,-1.215935,0.175834,3.039837,-0.596046,0.101328,1.047552,-1.434237,1.394749,-7.659197,-7.152557,14.305115,-1.192093,4.768372,-1.713634,18.179417,-11.324883,8.344650,-13.411045,-40.531158,2.086163,94.771385,-16.689301,4.768372,28.014183,-36.954880,33.378601,-202.655792
4,0,907.662048,492.034241,72.928314,885.702698,27.903099,77.462273,-168.316330,-191.226273,11.252883,-601.591309,86.407310,78.591408,-568.588257,401.610229,73.897858,-47.103554,286.496857,124.998962,-0.393391,0.554323,-0.084937,0.107288,-0.078976,0.721216,-0.476837,0.286102,-0.584126,-1.454353,0.183284,3.510714,-0.667572,0.131130,1.184642,-1.604110,1.531839,-8.599461,-11.920929,14.305115,-0.298023,4.768372,-1.788139,17.583370,-10.132790,7.748604,-12.665987,-47.683716,1.490116,94.175339,-14.305115,5.960464,27.418137,-33.974648,27.418137,-188.052658
5,0,907.659851,492.037292,72.927895,885.703247,27.902668,77.466286,-168.318954,-191.224640,11.249683,-601.599670,86.408249,78.611214,-568.592041,401.610962,73.904411,-47.112297,286.505035,124.951790,-0.441074,0.613928,-0.084937,0.119209,-0.086054,0.803173,-0.524521,0.327826,-0.639819,-1.680851,0.187755,3.962219,-0.751019,0.149012,1.309812,-1.748651,1.639128,-9.435415,-9.536743,11.920929,0.000000,2.384186,-1.415610,16.391277,-9.536743,8.344650,-11.138618,-45.299530,0.894070,90.301041,-16.689301,3.576279,25.033951,-28.908253,21.457672,-167.191025
6,0,907.657471,492.040649,72.927467,885.704102,27.902212,77.470657,-168.321793,-191.222824,11.246264,-601.609192,86.409180,78.633133,-568.596069,401.611877,73.911491,-47.121609,286.513641,124.901192,-0.476837,0.667572,-0.084937,0.166893,-0.091270,0.874698,-0.566244,0.360608,-0.683963,-1.895428,0.186265,4.382432,-0.810623,0.178814,1.415610,-1.862645,1.722574,-10.119379,-7.152557,10.728836,0.000000,9.536743,-1.043081,14.305115,-8.344650,6.556511,-8.828938,-42.915344,-0.298023,84.042549,-11.920929,5.960464,21.159649,-22.798777,16.689301,-136.792664
7,0,907.654907,492.044250,72.927071,885.705017,27.901747,77.475342,-168.324738,-191.220886,11.242691,-601.619629,86.410072,78.656914,-568.600342,401.612885,73.918999,-47.131302,286.522430,124.848022,-0.512600,0.721216,-0.078976,0.178814,-0.093132,0.935793,-0.590086,0.390410,-0.714511,-2.086163,0.178814,4.756451,-0.858307,0.202656,1.502037,-1.938641,1.752377,-10.633469,-7.152557,10.728836,1.192093,2.384186,-0.372529,12.218952,-4.768372,5.960464,-6.109476,-38.146973,-1.490116,74.803833,-9.536743,4.768372,17.285347,-15.199184,5.960464,-102.818008
8,0,907.652283,492.048004,72.926697,885.705994,27.901287,77.480232,-168.327789,-191.218811,11.239044,-601.630981,86.410912,78.682251,-568.604797,401.614014,73.926804,-47.141171,286.531158,124.793266,-0.524521,0.751019,-0.074506,0.202656,-0.092015,0.979006,-0.610948,0.414252,-0.729412,-2.276897,0.166893,5.067885,-0.894070,0.226498,1.561642,-1.973659,1.746416,-10.950863,-2.384186,5.960464,0.894070,4.768372,0.223517,8.642673,-4.172325,4.768372,-2.980232,-38.146973,-2.384186,62.286854,-7.152557,4.768372,11.920929,-7.003546,-1.192093,-63.478947
9,0,907.649536,492.051849,72.926361,885.707214,27.900854,77.485275,-168.330872,-191.216629,11.235408,-601.643127,86.411644,78.708817,-568.609375,401.615234,73.934792,-47.150986,286.539581,124.737953,-0.548363,0.768900,-0.067055,0.238419,-0.086427,1.008809,-0.616908,0.435114,-0.727363,-2.431870,0.147521,5.313754,-0.905991,0.244379,1.597404,-1.962483,1.686811,-11.062622,-4.768372,3.576279,1.490116,7.152557,1.117587,5.960464,-1.192093,4.172325,0.409782,-30.994415,-3.874302,49.173832,-2.384186,3.576279,7.152557,2.235174,-11.920929,-22.351742
10,0,907.646851,492.055786,72.926064,885.708435,27.900465,77.490379,-168.333954,-191.214447,11.231867,-601.655884,86.412285,78.736198,-568.613953,401.616547,73.942825,-47.160519,286.547638,124.683151,-0.536442,0.786781,-0.059605,0.250340,-0.077859,1.020730,-0.613928,0.438094,-0.708178,-2.551079,0.128150,5.476177,-0.917912,0.262260,1.606345,-1.906604,1.609325,-10.961294,2.384186,3.576279,1.490116,2.384186,1.713634,2.384186,0.596046,0.596046,3.837049,-23.841858,-3.874302,32.484531,-2.384186,3.576279,1.788139,11.175871,-15.497208,20.265579
11,0,907.644165,492.059662,72.925797,885.709900,27.900137,77.495453,-168.336914,-191.212204,11.228509,-601.669006,86.412811,78.764000,-568.618408,401.617950,73.950790,-47.169533,286.555084,124.629890,-0.536442,0.774860,-0.053644,0.286102,-0.065565,1.014769,-0.593066,0.447035,-0.671484,-2.622604,0.104308,5.559623,-0.894070,0.280142,1.592934,-1.803041,1.490116,-10.651350,0.000000,-2.384186,1.192093,7.152557,2.458692,-1.192093,4.172325,1.788139,7.338822,-14.305115,-4.768372,16.689301,4.768372,3.576279,-2.682209,20.712614,-23.841858,61.988831
12,0,907.641602,492.063477,72.925568,885.711365,27.899881,77.500412,-168.339737,-191.210052,11.225421,-601.682373,86.413208,78.791756,-568.622803,401.619385,73.958549,-47.177799,286.561890,124.579170,-0.512600,0.762939,-0.046194,0.298023,-0.051036,0.990927,-0.566244,0.432134,-0.617653,-2.670288,0.078976,5.550683,-0.882149,0.286102,1.551211,-1.653284,1.358986,-10.144711,4.768372,-2.384186,1.490116,2.384186,2.905726,-4.768372,5.364418,-2.980232,10.766088,-9.536743,-5.066395,-1.788139,2.384186,1.192093,-8.344650,29.951334,-26.226044,101.327896
13,0,907.639160,492.067139,72.925385,885.712891,27.899710,77.505165,-168.342392,-191.207962,11.222680,-601.695618,86.413467,78.819054,-568.627075,401.620850,73.966019,-47.185104,286.568115,124.531929,-0.488758,0.733137,-0.037253,0.298023,-0.034273,0.950694,-0.530481,0.417233,-0.548176,-2.646446,0.052154,5.459785,-0.846386,0.298023,1.494586,-1.461059,1.245737,-9.447336,4.768372,-5.960464,1.788139,0.000000,3.352761,-8.046627,7.152557,-2.980232,13.895332,4.768372,-5.364418,-18.179417,7.152557,2.384186,-11.324883,38.444996,-22.649765,139.474869
14,0,907.636841,492.070618,72.925201,885.714478,27.899628,77.509644,-168.344818,-191.205994,11.220357,-601.708557,86.413574,78.845474,-568.630981,401.622375,73.973137,-47.191223,286.573792,124.489006,-0.464916,0.697374,-0.035763,0.321865,-0.016391,0.895560,-0.482798,0.393391,-0.464544,-2.586842,0.022352,5.283952,-0.786781,0.303984,1.423061,-1.223385,1.138449,-8.584558,4.768372,-7.152557,0.298023,4.768372,3.576279,-11.026859,9.536743,-4.768372,16.726553,11.920929,-5.960464,-35.166740,11.920929,1.192093,-14.305115,47.534706,-21.457672,172.555450
15,0,907.634766,492.073853,72.925064,885.715942,27.899630,77.513756,-168.346954,-191.204193,11.218518,-601.721008,86.413559,78.870636,-568.634705,401.623901,73.979828,-47.195950,286.579285,124.451134,-0.417233,0.649691,-0.028312,0.298023,0.000373,0.822544,-0.429153,0.360608,-0.367872,-2.491474,-0.002980,5.033612,-0.739098,0.303984,1.338124,-0.945479,1.096725,-7.575750,9.536743,-9.536743,1.490116,-4.768372,3.352761,-14.603138,10.728836,-6.556511,19.334257,19.073486,-5.066395,-50.067902,9.536743,0.000000,-16.987324,55.581329,-8.344650,201.761719
16,0,907.632812,492.076843,72.924919,885.717529,27.899702,77.517448,-168.348801,-191.202591,11.217214,-601.732727,86.413414,78.894226,-568.638062,401.625366,73.986046,-47.199062,286.584778,124.418907,-0.381470,0.596046,-0.028312,0.309944,0.014529,0.739098,-0.369549,0.318885,-0.260957,-2.348423,-0.029802,4.717708,-0.679493,0.292063,1.244247,-0.622869,1.096725,-6.444752,7.152557,-10.728836,0.000000,2.384186,2.831221,-16.689301,11.920929,-8.344650,21.383167,28.610229,-5.364418,-63.180923,11.920929,-2.384186,-18.775463,64.522026,0.000000,226.199631
17,0,907.631287,492.079498,72.924797,885.718994,27.899828,77.520683,-168.350357,-191.201233,11.216489,-601.743774,86.413132,78.915985,-568.641174,401.626740,73.991783,-47.200359,286.590820,124.392799,-0.309944,0.530481,-0.023842,0.298023,0.024959,0.646710,-0.309944,0.271201,-0.144914,-2.205372,-0.056624,4.351139,-0.619888,0.274181,1.147389,-0.259280,1.209974,-5.221367,14.305115,-13.113022,0.894070,-2.384186,2.086163,-18.477440,11.920929,-9.536743,23.208559,28.610229,-5.364418,-73.313713,11.920929,-3.576279,-19.371510,72.717667,22.649765,244.677063
18,0,907.629822,492.081848,72.924690,885.720337,27.899973,77.523415,-168.351578,-191.200134,11.216373,-601.753784,86.412697,78.935707,-568.643921,401.627991,73.997025,-47.199596,286.597839,124.373161,-0.286102,0.470877,-0.022352,0.262260,0.029057,0.546873,-0.244379,0.220537,-0.023097,-2.002716,-0.086427,3.944337,-0.548363,0.250340,1.047552,0.152737,1.406670,-3.927946,4.768372,-11.920929,0.298023,-7.152557,0.819564,-19.967556,13.113022,-10.132790,24.363400,40.531158,-5.960464,-81.360336,14.305115,-4.768372,-19.967556,82.403419,39.339066,258.684143
19,0,907.628723,492.083862,72.924576,885.721558,27.900101,77.525620,-168.352448,-191.199326,11.216887,-601.762695,86.412140,78.953285,-568.646362,401.629089,74.001747,-47.196541,286.606537,124.360207,-0.226498,0.399351,-0.022352,0.250340,0.025705,0.441074,-0.175834,0.160933,0.102632,-1.788139,-0.111759,3.516674,-0.488758,0.220537,0.944734,0.610948,1.740456,-2.591312,11.920929,-14.305115,0.000000,-2.384186,-0.670552,-21.159649,13.709068,-11.920929,25.145710,42.915344,-5.066395,-85.532669,11.920929,-5.960464,-20.563602,91.642143,66.757202,267.326843
20,0,907.627747,492.085510,72.924461,885.722656,27.900171,77.527313,-168.353043,-191.198822,11.218030,-601.770630,86.411430,78.968719,-568.648438,401.629944,74.005951,-47.190937,286.617615,124.354042,-0.190735,0.333786,-0.022352,0.214577,0.013784,0.338256,-0.116229,0.101328,0.228733,-1.585484,-0.141561,3.086030,-0.417233,0.172853,0.841916,1.120567,2.211332,-1.232326,7.152557,-13.113022,0.000000,-7.152557,-2.384186,-20.563602,11.920929,-11.920929,25.220215,40.531158,-5.960464,-86.128708,14.305115,-9.536743,-20.563602,101.923943,94.175339,271.797180
