file,initial_frame,max_deflection_frame,max_deflection,x0,y0,max_x,max_y,max_xdot,max_ydot,max_xdoubledot,max_ydoubledot
ball_nd_p4,60,122,86.68677981801868,145.176407,365.205109,58.831612,357.512634,4.152954,-49.763916,545.978516,1468.658447
ball_nd_p3,310,510,35.29046020388127,110.910454,320.744171,78.587646,306.578979,-121.56665,-234.192612,1148.879517,715.255737
ball_nd_p1,140,172,47.133071221867226,159.084305,355.413422,206.018707,351.090424,28.067827,40.137768,-8575.320312,1775.026367
ball_nd_p5,960,1059,184.11768656867375,167.832596,375.038239,-15.587852,391.046417,-0.542402,17.225742,2659.857178,-855.922729
ball_p3,35,115,45.51228077933737,-46.891838,287.2341,-44.106518,241.807129,-31.965971,-5.120039,-236.630432,948.309875
ball_p4,95,135,67.91027361037303,-16.157236,290.724243,-83.205246,279.936768,-18.340349,21.731853,4574.65625,649.690613
ball_p1,110,160,71.67722836295223,-32.168785,296.843048,38.684101,286.003601,2.068281,-72.389839,-2772.211914,998.973877
ball_p5,60,142,29.16139146519228,-17.682514,290.423431,-46.425797,285.503021,-2.785027,12.999773,406.205658,431.537628
ball_p2,85,145,94.2798090815477,-44.92395,287.64212,46.664711,265.276978,-0.943989,-41.997433,-2837.92627,1229.047729
ball_nd_p2,140,195,78.61204000676264,102.139915,329.553864,179.166016,313.842957,11.572242,48.989059,-2393.722656,-426.769257
